name,vote_count,vote_average,revenue
Karla Mosley,0.0,0.0,0.0
Karla Jang,0.0,0.0,0.0
Karla Droege,0.0,0.0,0.0
Karla Cipriano,0.0,0.0,0.0
Karl Willetts,0.0,0.0,0.0
Karl Wiedergott,0.0,0.0,0.0
Karl Werleman,0.0,0.0,0.0
Karl Walcott,0.0,0.0,0.0
Karl Rice,0.0,0.0,0.0
Karen Mkrtchyan,0.0,0.0,0.0
Karen Maruyama,0.0,0.0,0.0
Karen Ludwig,0.0,0.0,0.0
Kapil Dubey,0.0,0.0,0.0
Kane Ritchotte,0.0,0.0,0.0
Kaniehtiio Horn,0.0,0.0,0.0
Kanneti Sawe Han,0.0,0.0,0.0
Kansai Eto,0.0,0.0,0.0
Kaori Momoi,0.0,0.0,0.0
Kaoru Endô,0.0,0.0,0.0
Kapish OJO,0.0,0.0,0.0
Karen Kuioka Hironaga,0.0,0.0,0.0
Kara Apostolica,0.0,0.0,0.0
Kara Flowers,0.0,0.0,0.0
Kara Gibson,0.0,0.0,0.0
Kara Hamilton,0.0,0.0,0.0
Kara Hess,0.0,0.0,0.0
Kara Hoffman,0.0,0.0,0.0
Kandiss Marie Lewis,0.0,0.0,0.0
Kandiss Edmundson,0.0,0.0,0.0
Kandis Mak,0.0,0.0,0.0
Kandice Morris,0.0,0.0,0.0
Kandee Johnson,0.0,0.0,0.0
Kanayo Chiemelu,0.0,0.0,0.0
Kanako Takegishi,0.0,0.0,0.0
Kamryn Johnson,0.0,0.0,0.0
Kamille Dawkins,0.0,0.0,0.0
Kamilla Fátyol,0.0,0.0,0.0
Kamil Orzechowski,0.0,0.0,0.0
Kamil McFadden,0.0,0.0,0.0
Kamil Lemieszewski,0.0,0.0,0.0
Kami Jones,0.0,0.0,0.0
Kamel Kenzo,0.0,0.0,0.0
Kamden Beauchamp,0.0,0.0,0.0
Kamber Hejlik,0.0,0.0,0.0
Kara Kemp,0.0,0.0,0.0
Kara Michele Wilder,0.0,0.0,0.0
Kara Pacitto,0.0,0.0,0.0
Karen Clark,0.0,0.0,0.0
Karen Kilgariff,0.0,0.0,0.0
Karen Kaeja,0.0,0.0,0.0
Karen Ivany,0.0,0.0,0.0
Karen Hines,0.0,0.0,0.0
Karen Hermelin,0.0,0.0,0.0
Karen Harrison,0.0,0.0,0.0
Karen Gonzales,0.0,0.0,0.0
Karen Gagnon,0.0,0.0,0.0
Karen Fukuhara,0.0,0.0,0.0
Karen Ford,0.0,0.0,0.0
Karen Elmore,0.0,0.0,0.0
Karen E. Wright,0.0,0.0,0.0
Karen Duffy,0.0,0.0,0.0
Karen Cliche,0.0,0.0,0.0
Karen Ceesay,0.0,0.0,0.0
Kara Rosella,0.0,0.0,0.0
Karen Black,0.0,0.0,0.0
Karen Belfo,0.0,0.0,0.0
Karen Baum,0.0,0.0,0.0
Karen Bankhead,0.0,0.0,0.0
Karen Aldridge,0.0,0.0,0.0
Karen Abercrombie,0.0,0.0,0.0
Karelix Alicea,0.0,0.0,0.0
Karel Vávrovec,0.0,0.0,0.0
Karel Veselý,0.0,0.0,0.0
